,Date,Symbols,value,error_value,error_ind
9478,2014-12-03,XOM,94.94999694824219,94.94999694824219,0
9479,2014-12-04,XOM,94.37000274658203,94.37000274658203,0
9480,2014-12-05,XOM,93.81999969482422,93.81999969482422,0
9481,2014-12-08,XOM,91.69999694824219,91.69999694824219,0
9482,2014-12-09,XOM,91.37999725341797,91.37999725341797,0
9483,2014-12-10,XOM,88.66999816894531,88.66999816894531,0
9484,2014-12-11,XOM,89.19999694824219,89.19999694824219,0
9485,2014-12-12,XOM,86.5999984741211,86.5999984741211,0
9486,2014-12-15,XOM,86.9000015258789,86.9000015258789,0
9487,2014-12-16,XOM,86.41000366210938,86.41000366210938,0
9488,2014-12-17,XOM,89.0199966430664,89.0199966430664,0
9489,2014-12-18,XOM,91.16000366210938,98.87518936059956,1
9490,2014-12-19,XOM,93.63999938964844,93.63999938964844,0
9491,2014-12-22,XOM,93.33000183105469,93.33000183105469,0
9492,2014-12-23,XOM,94.58999633789062,94.58999633789062,0
9493,2014-12-24,XOM,93.77999877929688,93.77999877929688,0
9494,2014-12-26,XOM,93.20999908447266,93.20999908447266,0
9495,2014-12-29,XOM,93.06999969482422,93.06999969482422,0
9496,2014-12-30,XOM,93.0199966430664,93.0199966430664,0
9497,2014-12-31,XOM,92.44999694824219,92.44999694824219,0
9498,2015-01-02,XOM,92.83000183105469,92.83000183105469,0
9499,2015-01-05,XOM,90.29000091552734,90.29000091552734,0
9500,2015-01-06,XOM,89.80999755859375,89.80999755859375,0
9501,2015-01-07,XOM,90.72000122070312,90.72000122070312,0
9502,2015-01-08,XOM,92.2300033569336,92.2300033569336,0
9503,2015-01-09,XOM,92.0999984741211,92.0999984741211,0
9504,2015-01-12,XOM,90.33000183105469,90.33000183105469,0
9505,2015-01-13,XOM,90.0,90.0,0
9506,2015-01-14,XOM,89.73999786376953,89.73999786376953,0
9507,2015-01-15,XOM,88.95999908447266,88.95999908447266,0
9508,2015-01-16,XOM,91.12000274658203,91.12000274658203,0
9509,2015-01-20,XOM,91.08999633789062,91.08999633789062,0
9510,2015-01-21,XOM,91.87000274658203,91.87000274658203,0
9511,2015-01-22,XOM,92.87000274658203,92.87000274658203,0
9512,2015-01-23,XOM,90.88999938964844,90.88999938964844,0
9513,2015-01-26,XOM,91.76000213623047,91.76000213623047,0
9514,2015-01-27,XOM,90.94999694824219,90.94999694824219,0
9515,2015-01-28,XOM,87.94999694824219,87.94999694824219,0
9516,2015-01-29,XOM,87.58000183105469,87.58000183105469,0
9517,2015-01-30,XOM,87.41999816894531,87.41999816894531,0
9518,2015-02-02,XOM,89.58000183105469,89.58000183105469,0
9519,2015-02-03,XOM,92.25,92.25,0
9520,2015-02-04,XOM,91.45999908447266,91.45999908447266,0
9521,2015-02-05,XOM,92.36000061035156,92.36000061035156,0
9522,2015-02-06,XOM,91.5,91.5,0
9523,2015-02-09,XOM,91.55999755859375,91.55999755859375,0
9524,2015-02-10,XOM,91.01000213623047,91.01000213623047,0
9525,2015-02-11,XOM,90.5999984741211,90.5999984741211,0
9526,2015-02-12,XOM,92.37000274658203,92.37000274658203,0
9527,2015-02-13,XOM,93.37000274658203,93.37000274658203,0
9528,2015-02-17,XOM,93.05000305175781,93.05000305175781,0
9529,2015-02-18,XOM,91.01000213623047,91.01000213623047,0
9530,2015-02-19,XOM,89.44000244140625,89.44000244140625,0
9531,2015-02-20,XOM,89.91999816894531,89.91999816894531,0
9532,2015-02-23,XOM,89.01000213623047,89.01000213623047,0
9533,2015-02-24,XOM,89.41999816894531,89.41999816894531,0
9534,2015-02-25,XOM,89.5999984741211,89.5999984741211,0
9535,2015-02-26,XOM,88.6500015258789,88.6500015258789,0
9536,2015-02-27,XOM,88.54000091552734,88.54000091552734,0
9537,2015-03-02,XOM,88.04000091552734,88.04000091552734,0
9538,2015-03-03,XOM,87.62000274658203,87.62000274658203,0
9539,2015-03-04,XOM,87.18000030517578,87.18000030517578,0
9540,2015-03-05,XOM,86.73999786376953,86.73999786376953,0
9541,2015-03-06,XOM,85.62999725341797,85.62999725341797,0
9542,2015-03-09,XOM,85.16000366210938,85.16000366210938,0
9543,2015-03-10,XOM,84.26000213623047,84.26000213623047,0
9544,2015-03-11,XOM,84.0199966430664,84.0199966430664,0
9545,2015-03-12,XOM,84.22000122070312,84.22000122070312,0
9546,2015-03-13,XOM,83.87000274658203,83.87000274658203,0
9547,2015-03-16,XOM,84.76000213623047,84.76000213623047,0
9548,2015-03-17,XOM,84.08000183105469,84.08000183105469,0
9549,2015-03-18,XOM,86.06999969482422,86.06999969482422,0
9550,2015-03-19,XOM,84.41000366210938,84.41000366210938,0
9551,2015-03-20,XOM,84.54000091552734,84.54000091552734,0
9552,2015-03-23,XOM,85.43000030517578,85.43000030517578,0
9553,2015-03-24,XOM,84.5199966430664,84.5199966430664,0
